排名,校名,总得分,人才培养,科学研究,分省排名,学校类型,学校参考类型
得分,研究生培养,本科生培养,得分,自然科学研究,社会科学研究
52,南京师范大学,32.21,17.68,9.06,8.62,14.53,6.33,8.20,苏,8,师范,文理类,研教1型
53,北京化工大学,31.91,16.44,8.47,7.97,15.47,14.91,0.56,京,8,理工,工学类,研教1型
54,西北农林科技大学,31.88,16.21,8.78,7.43,15.67,13.83,1.84,陕,4,农业,理科类,研教1型
55,江苏大学,31.82,16.12,8.86,7.26,15.70,13.48,2.22,苏,9,综合,工学类,研教1型
56,北京科技大学,29.83,15.76,8.72,7.04,14.07,12.65,1.42,京,9,理工,工学类,研教1型
57,华南师范大学,29.51,16.32,7.99,8.33,13.19,7.54,5.66,粤,4,师范,文理类,研教1型
58,北京交通大学,28.93,18.51,6.83,11.68,10.42,8.01,2.41,京,10,理工,文理类,研教2型
59,哈尔滨工程大学,28.60,15.42,7.83,7.59,13.18,11.88,1.29,黑,2,理工,工学类,研教1型
60,东华大学,28.57,15.09,7.88,7.21,13.48,12.46,1.02,沪,7,理工,工学类,研教1型
61,首都医科大学,27.86,14.06,7.49,6.57,13.81,13.37,0.43,京,11,医药,医学类,研教1型
62,西北大学,27.55,15.70,7.09,8.61,11.85,6.84,5.02,陕,5,综合,综合类,研教1型
63,浙江工业大学,25.88,13.93,6.81,7.13,11.95,10.41,1.54,浙,2,理工,工学类,研教1型
64,中国海洋大学,25.86,13.92,7.40,6.53,11.94,10.47,1.47,鲁,2,综合,理科类,研教1型
65,河海大学,25.78,15.20,7.24,7.95,10.59,8.49,2.10,苏,10,理工,文理类,研教2型
66,陕西师范大学,25.60,13.87,7.43,6.44,11.73,6.13,5.60,陕,6,师范,文理类,研教1型
67,北京工业大学,25.24,13.70,6.97,6.73,11.54,10.14,1.40,京,12,理工,工学类,研教1型
68,南昌大学,25.22,15.73,6.28,9.45,9.49,7.56,1.94,赣,1,综合,综合类,研教2型
69,河南大学,24.74,14.52,6.26,8.26,10.22,5.62,4.60,豫,2,综合,文理类,研教2型
70,南京工业大学,24.05,12.20,6.44,5.76,11.85,10.97,0.88,苏,11,理工,工学类,研教1型
71,扬州大学,23.69,13.24,5.96,7.28,10.45,7.97,2.48,苏,12,综合,文理类,研教1型
72,福州大学,23.22,12.39,6.38,6.01,10.83,9.36,1.47,闽,2,理工,理科类,研教1型
73,合肥工业大学,22.58,14.27,5.84,8.42,8.31,7.12,1.19,皖,2,理工,工学类,研教2型
74,湖南师范大学,22.07,13.06,6.09,6.97,9.01,3.88,5.13,湘,3,综合,文理类,研教2型
75,中国矿业大学,22.06,12.87,5.88,6.99,9.19,7.44,1.76,苏,13,理工,文理类,研教2型
76,北京邮电大学,22.05,13.08,6.43,6.66,8.97,7.83,1.14,京,13,理工,工学类,研教1型
77,华南农业大学,21.52,13.08,4.69,8.40,8.43,6.56,1.87,粤,5,农林,文理类,研教2型
78,华北电力大学,21.42,12.27,5.71,6.56,9.15,7.87,1.28,京,14,理工,工学类,研教2型
79,燕山大学,20.32,10.70,5.94,4.77,9.62,8.06,1.56,冀,1,理工,文理类,研教1型
80,浙江师范大学,20.21,10.56,5.06,5.50,9.65,5.06,4.58,浙,3,师范,文理类,研教1型
81,湘潭大学,19.42,11.28,5.20,6.08,8.14,5.55,2.59,湘,4,综合,综合类,研教1型
82,云南大学,19.27,11.91,5.19,6.73,7.36,4.16,3.20,云,1,综合,文理类,研教2型
83,南京医科大学,19.13,10.01,5.15,4.86,9.12,8.79,0.33,苏,14,医药,医学类,研教1型
84,上海财经大学,19.13,11.49,4.86,6.63,7.64,0.25,7.39,沪,8,财经,经管类,研教1型
85,山西大学,19.10,10.81,5.05,5.77,8.28,4.20,4.08,晋,1,综合,综合类,研教2型
86,中南财经政法大学,18.76,12.00,4.99,7.01,6.76,0.21,6.55,鄂,6,财经,文科类,研教2型
87,中国地质大学(武汉),18.56,11.43,4.68,6.75,7.13,6.21,0.92,鄂,7,理工,理科类,研教2型
88,首都师范大学,18.29,10.89,4.79,6.10,7.40,2.65,4.75,京,15,师范,文理类,研教1型
89,黑龙江大学,18.22,11.06,4.22,6.85,7.15,2.70,4.45,黑,3,综合,文理类,研教2型
90,宁波大学,18.18,9.93,4.40,5.52,8.26,5.52,2.74,浙,4,综合,文理类,研教1型
91,福建师范大学,18.14,10.61,4.77,5.84,7.53,2.77,4.76,闽,3,师范,文理类,研教2型
92,上海师范大学,18.07,9.44,5.01,4.43,8.63,3.51,5.11,沪,9,师范,文理类,研教1型
93,河北大学,17.94,9.52,5.30,4.22,8.42,4.88,3.54,冀,2,综合,综合类,研教2型
94,广西大学,17.47,10.99,4.55,6.44,6.48,4.85,1.64,桂,1,综合,综合类,研教2型
95,青岛大学,17.37,11.20,3.94,7.25,6.18,4.98,1.20,鲁,3,综合,文理类,研教2型
96,中国药科大学,17.32,9.79,4.17,5.62,7.54,7.22,0.32,苏,15,医药,理科类,研教1型
97,昆明理工大学,17.18,10.27,4.75,5.52,6.91,5.96,0.95,云,2,理工,工学类,研教2型
98,西南财经大学,17.17,11.74,4.24,7.50,5.43,0.20,5.23,川,4,财经,经管类,研教2型
99,中国石油大学(华东),16.93,10.72,4.07,6.65,6.22,5.60,0.62,鲁,4,理工,工学类,研教2型
100,长安大学,16.82,10.95,4.14,6.80,5.87,5.06,0.81,陕,7,理工,工学类,研教2型
101,中国医科大学,16.58,9.22,4.64,4.58,7.37,7.23,0.13,辽,3,医药,医学类,研教2型
102,南方医科大学,16.39,9.87,3.81,6.07,6.52,6.11,0.41,粤,6,医药,医学类,研教2型
103,北京林业大学,16.36,9.83,4.04,5.79,6.53,4.93,1.60,京,16,林业,文理类,研教1型
104,安徽大学,16.15,10.03,4.25,5.78,6.13,3.10,3.03,皖,3,综合,文理类,研教2型
105,四川农业大学,16.13,9.45,3.85,5.60,6.68,5.96,0.72,川,5,农林,农学类,研教2型
106,山东农业大学,16.12,9.19,3.81,5.39,6.93,6.46,0.47,鲁,5,农业,农学类,研教2型
107,贵州大学,15.91,10.43,3.95,6.47,5.48,4.18,1.30,贵,1,综合,文理类,教研1型
108,上海理工大学,15.83,9.37,4.19,5.18,6.46,4.41,2.05,沪,10,理工,文理类,研教2型
109,重庆医科大学,15.81,8.86,4.20,4.66,6.95,6.69,0.26,渝,3,医药,医学类,研教2型
110,东北林业大学,15.76,9.50,3.77,5.74,6.26,5.57,0.69,黑,4,林业,理科类,研教2型
111,哈尔滨医科大学,15.22,9.80,3.73,6.07,5.42,5.23,0.20,黑,5,医药,医学类,研教2型
112,河南师范大学,14.79,8.90,3.32,5.58,5.89,3.70,2.19,豫,3,师范,文理类,研教2型
113,安徽师范大学,14.68,8.39,3.78,4.61,6.29,4.00,2.29,皖,4,师范,文理类,研教2型
114,中国传媒大学,14.56,9.01,3.54,5.47,5.55,0.25,5.30,京,17,语文,文学类,研教2型
115,中国石油大学(北京),14.56,8.23,4.59,3.64,6.33,5.83,0.50,京,18,理工,工学类,研教1型
116,太原理工大学,14.44,9.31,3.64,5.66,5.14,4.76,0.38,晋,2,理工,工学类,研教2型
117,浙江理工大学,14.32,8.35,3.21,5.14,5.97,4.87,1.10,浙,5,理工,综合类,教研1型
118,南京信息工程大学,14.24,8.30,3.12,5.18,5.93,4.14,1.80,苏,16,理工,文理类,研教2型
119,青岛科技大学,14.16,8.27,3.12,5.15,5.89,5.50,0.39,鲁,6,理工,工学类,研教2型
120,中国地质大学(北京),14.10,7.74,4.21,3.53,6.36,5.87,0.49,京,19,理工,理科类,研教1型
121,中央财经大学,14.07,8.70,3.47,5.23,5.37,0.32,5.05,京,20,财经,经管类,研教1型
122,天津医科大学,14.05,8.00,3.70,4.31,6.05,5.94,0.12,津,3,医药,医学类,研教2型
123,西北师范大学,13.99,7.65,4.12,3.52,6.34,3.76,2.59,甘,2,师范,文理类,研教2型
124,浙江工商大学,13.99,8.09,3.19,4.90,5.90,1.92,3.98,浙,6,财经,综合类,研教1型
125,深圳大学,13.87,8.92,3.14,5.78,4.95,2.51,2.44,粤,7,综合,综合类,研教2型
126,东北财经大学,13.62,8.82,3.72,5.10,4.80,0.23,4.57,辽,4,财经,文科类,研教2型
127,对外经济贸易大学,13.52,8.73,3.16,5.56,4.79,0.10,4.69,京,21,财经,经管类,研教1型
128,中国政法大学,13.13,8.42,3.64,4.78,4.71,0.00,4.71,京,22,政法,法学类,研教2型
129,山东师范大学,12.94,8.28,3.36,4.92,4.67,2.54,2.13,鲁,7,师范,文理类,研教2型
130,南京邮电大学,12.89,8.07,2.96,5.11,4.82,4.10,0.72,苏,17,理工,文理类,教研1型
131,广东工业大学,12.87,9.44,2.25,7.20,3.43,2.59,0.83,粤,8,理工,文理类,教研1型
132,新疆大学,12.81,8.25,3.03,5.22,4.56,3.02,1.54,新,1,综合,综合类,研教2型
133,四川师范大学,12.56,8.35,2.59,5.77,4.21,1.70,2.51,川,6,师范,综合类,教研1型
134,济南大学,12.44,7.80,2.20,5.60,4.65,3.69,0.95,鲁,8,综合,文理类,教研1型
135,山东科技大学,12.43,8.36,2.75,5.60,4.07,3.56,0.51,鲁,9,理工,工学类,教研1型
136,天津师范大学,12.41,8.02,2.77,5.25,4.39,1.98,2.40,津,4,师范,文理类,研教2型
137,西安理工大学,12.30,8.25,3.16,5.09,4.05,3.09,0.96,陕,8,理工,文理类,教研1型
138,东北农业大学,12.23,7.87,2.79,5.08,4.36,3.90,0.46,黑,6,农业,文理类,教研1型
139,中央民族大学,12.19,7.21,3.10,4.12,4.98,1.90,3.08,京,23,民族,综合类,研教2型
140,南通大学,12.12,7.11,2.49,4.62,5.02,3.76,1.26,苏,18,综合,综合类,研教2型
141,华侨大学,11.99,7.13,2.83,4.31,4.86,3.02,1.84,闽,4,综合,文理类,研教2型
142,温州医科大学,11.89,6.76,2.84,3.91,5.14,4.87,0.27,浙,7,医药,医学类,研教2型
143,中北大学,11.74,7.88,2.44,5.45,3.85,3.55,0.30,晋,3,理工,文理类,教研1型
144,辽宁大学,11.74,7.82,3.45,4.37,3.92,1.40,2.51,辽,5,综合,综合类,教研1型
145,江苏师范大学,11.59,6.53,2.62,3.91,5.06,2.26,2.80,苏,19,师范,文理类,研教2型
146,哈尔滨师范大学,11.47,7.20,2.81,4.40,4.27,1.99,2.28,黑,7,师范,综合类,教研1型
147,沈阳药科大学,11.44,6.41,2.84,3.57,5.03,4.84,0.19,辽,6,医药,理科类,研教1型
148,汕头大学,11.41,6.70,2.75,3.95,4.71,3.53,1.18,粤,9,综合,综合类,教研1型
149,广东外语外贸大学,11.41,7.05,2.26,4.80,4.35,0.13,4.22,粤,10,语文,文学类,教研1型
150,广西师范大学,11.30,7.43,2.96,4.47,3.87,2.29,1.58,桂,2,师范,综合类,教研1型
151,杭州电子科技大学,11.27,7.12,2.05,5.07,4.14,3.46,0.69,浙,8,理工,文理类,教研2型
152,南京林业大学,11.25,7.09,2.58,4.51,4.15,3.54,0.61,苏,20,林业,理科类,研教2型
153,河北工业大学,11.21,7.08,3.17,3.91,4.14,3.63,0.50,冀,3,理工,工学类,教研1型
154,广州大学,11.18,6.84,2.33,4.51,4.34,2.13,2.21,粤,11,综合,综合类,教研1型
155,福建农林大学,11.16,7.19,2.46,4.73,3.97,3.09,0.89,闽,5,农业,文理类,教研1型
156,河北师范大学,11.06,7.20,2.75,4.45,3.86,2.35,1.51,冀,4,师范,综合类,教研2型
157,河北农业大学,11.04,6.37,2.57,3.80,4.67,4.27,0.40,冀,5,农业,文理类,教研1型
158,长沙理工大学,11.04,7.41,2.40,5.01,3.63,2.49,1.15,湘,5,理工,工学类,教研1型
159,西南政法大学,11.00,7.28,3.19,4.08,3.73,0.00,3.73,渝,4,政法,文科类,教研1型
160,江西财经大学,11.00,7.35,2.51,4.84,3.65,0.27,3.38,赣,2,财经,经管类,教研1型
161,大连海事大学,10.99,7.38,2.55,4.83,3.61,2.62,0.99,辽,7,理工,文理类,教研1型
162,江西师范大学,10.90,7.10,2.62,4.48,3.80,2.05,1.75,赣,3,师范,综合类,教研1型
163,杭州师范大学,10.87,6.36,2.34,4.02,4.51,2.70,1.81,浙,9,师范,综合类,教研1型
164,成都理工大学,10.79,6.84,2.60,4.24,3.95,3.39,0.56,川,7,理工,综合类,教研1型
165,安徽医科大学,10.72,6.07,2.87,3.21,4.64,4.33,0.31,皖,5,医药,医学类,教研2型
166,武汉科技大学,10.62,7.60,2.08,5.52,3.02,2.51,0.51,鄂,8,理工,文理类,教研1型
167,湖北大学,10.59,6.60,2.54,4.05,3.99,2.38,1.61,鄂,9,综合,综合类,教研1型
