name,type,province,综合指标（校友会网）_科学研究,综合指标（校友会网）_人才培养,综合指标（校友会网）_综合声誉,学科排名（武书连）_综合实力,学科排名（武书连）_自然科学,学科排名（武书连）_社会科学,学科排名（武书连）_理学,学科排名（武书连）_工学,学科排名（武书连）_农学,学科排名（武书连）_医学,学科排名（武书连）_哲学,学科排名（武书连）_经济学,学科排名（武书连）_法学,学科排名（武书连）_教育学,学科排名（武书连）_文学,学科排名（武书连）_历史学,学科排名（武书连）_管理学,学科排名（武书连）_艺术学
西北大学,综合,陕西,9.58,10.08,13.6,0.8,0.7,0.9,0.8,0.7,0,0.7,0,0.9,0.8,0.7,0.9,0.7,0.8,0.7
中国矿业大学,理工,江苏,10.24,8.85,14.6,0.8,0.8,0.7,0.6,0.9,0.7,0,0,0.7,0.6,0.6,0.7,0,0.7,0.7
华中农业大学,农林,湖北,10.95,7.66,14.97,0.8,0.8,0.7,0.6,0.8,0,0.6,0,0.6,0.7,0.6,0.7,0.2,0.8,0.6
东华大学,理工,上海,14.12,5.28,11.99,0.9,0.9,0.8,1,0.8,0.7,0.7,0.2,0.8,0.7,0.6,0.8,0.8,0.7,0.4
西南大学,综合,重庆,9.81,9.16,12.56,0.8,0.8,0.7,0.7,0.8,0.6,0.7,0.2,0.6,0.8,0.6,0.8,0.6,0.8,0.7
中国海洋大学,综合,山东,10.16,7.02,16.52,1,1,1,1,0.8,0,0.8,0.8,1,1,0.8,1,1,1,0.9
南京航空航天大学,理工,江苏,10.1,7.81,14.21,0.7,0.8,0.6,0.5,0.8,0,0.3,0,0.4,0.6,0,0.3,0,0.7,0
电子科技大学,理工,四川,9.09,7.38,17.66,0.9,0.9,0.8,0.7,0.9,0,0,0,0.7,0.6,0,0.7,0,0.9,0.7
中国石油大学,理工,北京,9.63,7.62,14.93,0.8,0.8,0.6,0.6,0.9,0,0,0,0.6,0.6,0,0.6,0,0.7,0
长安大学,理工,陕西,9.66,8.23,12.91,0.8,0.8,0.8,0.8,0.7,1,0.5,0,0.8,0.6,0,0.5,0,1,0
武汉理工大学,理工,湖北,9.07,7.78,15.36,0.8,0.7,0.9,0.8,0.6,0,0,0.6,0.7,0.9,1,0.9,0.7,0.7,0.9
南京理工大学,理工,江苏,9.01,6.82,17.18,0.7,0.8,0.3,0.7,0.1,0,0.9,0,0,0,0,0.4,0,0.5,0
西南交通大学,理工,四川,7.56,8.49,16.07,1,0.9,1,1,0.8,0,0.7,0.8,1,0.9,0,1,1,1,0.7
北京交通大学,理工,北京,8.04,7.08,16.7,0.7,0.7,0.7,0.6,0.7,0.6,0.5,0,0.7,0.7,0.8,0.8,0.5,0.7,0.4
上海大学,综合,上海,8.93,7.43,12.71,0.7,0.7,0.7,0.7,0.6,0,0.7,0.1,0.7,0.4,0.5,0.8,0.4,0.6,0.6
南京农业大学,农林,江苏,7.38,7.18,17.29,1,1,1,1,1,0,0.8,0.7,0.9,1,0,0.9,0.9,1,1
南京师范大学,师范,江苏,6.63,9.93,10.27,0.9,0.9,1,1,0.8,0,0.7,0.7,1,0.9,0,0.9,0.8,0.9,0.8
苏州大学,综合,江苏,8.33,7.99,10.39,1,1,1,0.9,0.9,0,0.9,0.8,0.9,0.9,0.7,1,0.8,0.9,0.7
北京化工大学,理工,北京,9.49,4.52,16.29,0.8,0.7,0.9,0.8,0.7,0,0.4,0.8,0.7,0.8,0.8,0.8,0.7,0.8,0.8
