name,type,province,综合指标（校友会网）_科学研究,综合指标（校友会网）_人才培养,综合指标（校友会网）_综合声誉,综合指标（武书连）_人才培养,综合指标（武书连）_研究生培养,综合指标（武书连）_本科生培养,综合指标（武书连）_科学研究,综合指标（武书连）_自然科学研究,综合指标（武书连）_社会科学研究,学科排名（武书连）_综合实力,学科排名（武书连）_自然科学,学科排名（武书连）_社会科学,学科排名（武书连）_理学,学科排名（武书连）_工学,学科排名（武书连）_农学,学科排名（武书连）_医学,学科排名（武书连）_哲学,学科排名（武书连）_经济学,学科排名（武书连）_法学,学科排名（武书连）_教育学,学科排名（武书连）_文学,学科排名（武书连）_历史学,学科排名（武书连）_管理学,学科排名（武书连）_艺术学
河南大学,综合,河南,0.6212,0.6501,0.6204,0.150715316,0.088992197,0.275217101,0.074767961,0.043908782,0.109196858,0.8,0.8,0.7,0.6,0.8,0.5,0,0,0.7,0.7,0,0.6,0,0.9,0.1
黑龙江大学,综合,黑龙江,0.6182,0.6486,0.6197,0.116779417,0.059438818,0.23246493,0.052853214,0.020304061,0.104383076,0.7,0.7,0.9,0.8,0.6,0,0.5,0.2,0.8,0.7,0.9,0.9,0.7,0.7,0.7
湖南大学,综合,湖南,0.6709,0.6835,0.6948,0.267051126,0.218827827,0.364061456,0.190357511,0.164732947,0.143906765,0.7,0.6,0.8,0.7,0.6,0.5,0,0.6,0.7,0.8,0.5,0.9,0.5,0.7,0.6
湖南师范大学,师范,湖南,0.6299,0.6599,0.6657,0.143284906,0.100282251,0.229458918,0.080268133,0.047309462,0.116544211,0.9,0.9,0.9,0.9,0.9,0,0,0,0.9,0.8,0.7,0.7,0.6,0.9,0.8
华北电力大学,理工,北京,0.6245,0.6413,0.6444,0.126316957,0.072057114,0.235470942,0.055861121,0.053410682,0.02938941,0.8,0.7,0.9,0.8,0.5,0,0.6,0.6,0.7,0.8,0.9,0.9,0.7,0.7,0.8
华东理工大学,理工,上海,0.6554,0.6598,0.6871,0.235444161,0.196745808,0.313627255,0.191474734,0.209341868,0.034203192,0.7,0.7,0.6,0.6,0.8,0,0,0,0.6,0.5,0,0.4,0,0.8,0
华东师范大学,师范,上海,0.6981,0.6984,0.7058,0.256848176,0.220322099,0.330661323,0.202904778,0.129725945,0.26931847,0.9,0.9,0.7,0.8,0.9,0,0.6,0,0.7,0.7,0,0.6,0,0.7,0
华南理工大学,理工,广东,0.6748,0.6832,0.7234,0.328712432,0.276606342,0.433533734,0.265383293,0.26225245,0.118064353,0.9,0.9,0.8,0.8,1,0,0,0,0.7,0.8,0.7,0.7,0,0.9,0.6
华南农业大学,农林,广东,0.6287,0.6481,0.6066,0.141177775,0.067906359,0.288243153,0.062908216,0.057511502,0.040030403,0.7,0.7,0.7,0.7,0.6,0.9,0,0.1,0.6,0.6,0.6,0.6,0.5,0.8,0.6
华南师范大学,师范,广东,0.6242,0.654,0.6521,0.165797937,0.117383364,0.263193053,0.102698522,0.068413683,0.129465417,0.8,0.7,0.9,0.9,0.6,0,0,0,0.8,0.8,1,0.8,0.7,0.7,0.8
