排名	校名	总得分	研究生培养	本科生培养	自然科学研究	社会科学研究	province	type
92	上海师范大学	18.07	5.01	4.43	3.51	5.11	沪	师范
93	河北大学	17.94	5.3	4.22	4.88	3.54	冀	综合
94	广西大学	17.47	4.55	6.44	4.85	1.64	桂	综合
95	青岛大学	17.37	3.94	7.25	4.98	1.2	鲁	综合
96	中国药科大学	17.32	4.17	5.62	7.22	0.32	苏	医药
97	昆明理工大学	17.18	4.75	5.52	5.96	0.95	云	理工
98	西南财经大学	17.17	4.24	7.5	0.2	5.23	川	财经
99	中国石油大学(华东)	16.93	4.07	6.65	5.6	0.62	鲁	理工
100	长安大学	16.82	4.14	6.8	5.06	0.81	陕	理工
101	中国医科大学	16.58	4.64	4.58	7.23	0.13	辽	医药
102	南方医科大学	16.39	3.81	6.07	6.11	0.41	粤	医药
103	北京林业大学	16.36	4.04	5.79	4.93	1.6	京	林业
104	安徽大学	16.15	4.25	5.78	3.1	3.03	皖	综合
105	四川农业大学	16.13	3.85	5.6	5.96	0.72	川	农林
106	山东农业大学	16.12	3.81	5.39	6.46	0.47	鲁	农业
107	贵州大学	15.91	3.95	6.47	4.18	1.3	贵	综合
108	上海理工大学	15.83	4.19	5.18	4.41	2.05	沪	理工
109	重庆医科大学	15.81	4.2	4.66	6.69	0.26	渝	医药
110	东北林业大学	15.76	3.77	5.74	5.57	0.69	黑	林业
111	哈尔滨医科大学	15.22	3.73	6.07	5.23	0.2	黑	医药
112	河南师范大学	14.79	3.32	5.58	3.7	2.19	豫	师范
113	安徽师范大学	14.68	3.78	4.61	4	2.29	皖	师范
114	中国传媒大学	14.56	3.54	5.47	0.25	5.3	京	语文
115	中国石油大学(北京)	14.56	4.59	3.64	5.83	0.5	京	理工
116	太原理工大学	14.44	3.64	5.66	4.76	0.38	晋	理工
117	浙江理工大学	14.32	3.21	5.14	4.87	1.1	浙	理工
118	南京信息工程大学	14.24	3.12	5.18	4.14	1.8	苏	理工
119	青岛科技大学	14.16	3.12	5.15	5.5	0.39	鲁	理工
120	中国地质大学(北京)	14.1	4.21	3.53	5.87	0.49	京	理工
121	中央财经大学	14.07	3.47	5.23	0.32	5.05	京	财经
122	天津医科大学	14.05	3.7	4.31	5.94	0.12	津	医药
123	西北师范大学	13.99	4.12	3.52	3.76	2.59	甘	师范
124	浙江工商大学	13.99	3.19	4.9	1.92	3.98	浙	财经
125	深圳大学	13.87	3.14	5.78	2.51	2.44	粤	综合
126	东北财经大学	13.62	3.72	5.1	0.23	4.57	辽	财经
127	对外经济贸易大学	13.52	3.16	5.56	0.1	4.69	京	财经
128	中国政法大学	13.13	3.64	4.78	0	4.71	京	政法
129	山东师范大学	12.94	3.36	4.92	2.54	2.13	鲁	师范
130	南京邮电大学	12.89	2.96	5.11	4.1	0.72	苏	理工
131	广东工业大学	12.87	2.25	7.2	2.59	0.83	粤	理工
132	新疆大学	12.81	3.03	5.22	3.02	1.54	新	综合
133	四川师范大学	12.56	2.59	5.77	1.7	2.51	川	师范
134	济南大学	12.44	2.2	5.6	3.69	0.95	鲁	综合
135	山东科技大学	12.43	2.75	5.6	3.56	0.51	鲁	理工
136	天津师范大学	12.41	2.77	5.25	1.98	2.4	津	师范
137	西安理工大学	12.3	3.16	5.09	3.09	0.96	陕	理工
138	东北农业大学	12.23	2.79	5.08	3.9	0.46	黑	农业
139	中央民族大学	12.19	3.1	4.12	1.9	3.08	京	民族
140	南通大学	12.12	2.49	4.62	3.76	1.26	苏	综合
141	华侨大学	11.99	2.83	4.31	3.02	1.84	闽	综合
142	温州医科大学	11.89	2.84	3.91	4.87	0.27	浙	医药
143	中北大学	11.74	2.44	5.45	3.55	0.3	晋	理工
144	辽宁大学	11.74	3.45	4.37	1.4	2.51	辽	综合
145	江苏师范大学	11.59	2.62	3.91	2.26	2.8	苏	师范
146	哈尔滨师范大学	11.47	2.81	4.4	1.99	2.28	黑	师范
147	沈阳药科大学	11.44	2.84	3.57	4.84	0.19	辽	医药
148	汕头大学	11.41	2.75	3.95	3.53	1.18	粤	综合
149	广东外语外贸大学	11.41	2.26	4.8	0.13	4.22	粤	语文
150	广西师范大学	11.3	2.96	4.47	2.29	1.58	桂	师范
151	杭州电子科技大学	11.27	2.05	5.07	3.46	0.69	浙	理工
152	南京林业大学	11.25	2.58	4.51	3.54	0.61	苏	林业
153	河北工业大学	11.21	3.17	3.91	3.63	0.5	冀	理工
154	广州大学	11.18	2.33	4.51	2.13	2.21	粤	综合
155	福建农林大学	11.16	2.46	4.73	3.09	0.89	闽	农业
156	河北师范大学	11.06	2.75	4.45	2.35	1.51	冀	师范
157	河北农业大学	11.04	2.57	3.8	4.27	0.4	冀	农业
158	长沙理工大学	11.04	2.4	5.01	2.49	1.15	湘	理工
159	西南政法大学	11	3.19	4.08	0	3.73	渝	政法
160	江西财经大学	11	2.51	4.84	0.27	3.38	赣	财经
161	大连海事大学	10.99	2.55	4.83	2.62	0.99	辽	理工
162	江西师范大学	10.9	2.62	4.48	2.05	1.75	赣	师范
163	杭州师范大学	10.87	2.34	4.02	2.7	1.81	浙	师范
164	成都理工大学	10.79	2.6	4.24	3.39	0.56	川	理工
165	安徽医科大学	10.72	2.87	3.21	4.33	0.31	皖	医药
166	武汉科技大学	10.62	2.08	5.52	2.51	0.51	鄂	理工
167	湖北大学	10.59	2.54	4.05	2.38	1.61	鄂	综合
168	河南科技大学	10.52	1.76	5.44	2.88	0.44	豫	理工
169	西安建筑科技大学	10.52	2.88	4.52	2.58	0.53	陕	理工
170	天津工业大学	10.5	2.05	5	2.96	0.49	津	理工
171	山东理工大学	10.49	1.63	5.18	2.64	1.04	鲁	理工
172	内蒙古大学	10.46	2.32	5.41	1.49	1.24	蒙	综合
173	陕西科技大学	10.43	2.2	4.15	3.79	0.29	陕	理工
174	河南理工大学	10.39	1.85	5.25	2.59	0.7	豫	理工
175	河南农业大学	10.24	2.05	4.46	3.31	0.41	豫	农业
176	河北医科大学	10.22	2.67	3.96	3.55	0.05	冀	医药
177	湖南农业大学	10.21	2.43	3.73	2.98	1.07	湘	农业
178	上海外国语大学	10.19	2.52	3.78	0	3.89	沪	语文
179	北京中医药大学	10.16	2.49	3.86	3.57	0.24	京	医药
180	石河子大学	10.13	2.02	4.97	2.24	0.9	新	综合
181	长春理工大学	9.98	2.38	4.39	2.87	0.33	吉	理工
182	聊城大学	9.81	1.85	3.96	2.62	1.38	鲁	综合
183	温州大学	9.78	1.59	3.4	3.1	1.69	浙	综合
184	南京中医药大学	9.76	2.14	4.23	3.07	0.33	苏	医药
185	北京外国语大学	9.73	2.2	4.12	0.01	3.4	京	语文
186	天津科技大学	9.69	1.95	4.59	2.72	0.43	津	理工
187	辽宁师范大学	9.65	2.98	2.83	2.19	1.65	辽	师范
188	湖南科技大学	9.55	1.68	4.73	1.73	1.42	湘	综合
189	中南民族大学	9.54	2.05	3.89	1.79	1.82	鄂	民族
190	华东政法大学	9.54	2.38	3.78	0.01	3.38	沪	政法
191	西南科技大学	9.28	1.67	4.43	2.59	0.59	川	理工
192	重庆邮电大学	9.2	1.65	4.77	2.14	0.64	渝	理工
193	中国矿业大学(北京)	9.12	2.96	2.35	3.54	0.27	京	理工
194	福建医科大学	8.99	2.11	3.79	2.95	0.14	闽	医药
195	哈尔滨理工大学	8.92	2.06	4.15	1.74	0.99	黑	理工
196	广州中医药大学	8.92	2.1	4.34	2.34	0.15	粤	医药
197	上海中医药大学	8.8	2.02	3.39	3.23	0.17	沪	医药
198	兰州理工大学	8.71	2.21	3.33	2.86	0.32	甘	理工
199	山东财经大学	8.66	1.47	4.44	0.33	2.42	鲁	财经
200	烟台大学	8.61	1.65	3.6	1.95	1.41	鲁	综合
